№ п/п;Код;Наименование;Ед.изм;Количество;Объем;Примечание
;;Раздел. Фундаменты;;;;
22;Е4-1;Устройство фундамента ФОм1;м³;1;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
23;Е4-1;Устройство фундамента ФОм2;м³;1;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
24;Е4-1;Устройство фундамента ФОм3;м³;1;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
25;Е4-1;Устройство фундамента ФОм4;м³;1;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
26;Е4-1;Устройство фундамента ФОм5;м³;2;;См. формулу на чертеже (ref)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
27;Е4-1;Устройство фундамента ФОм5А;м³;1;;См. формулу на чертеже (ocr)
;;  Бетон В25 F150 W6;м³;;;С учётом расхода 1.015
;;  Бетон В7.5 (подготовка);м³;;;С учётом расхода 1.02
;;  Арматура (см. спецификацию);т;;;См. формулу на чертеже
;;Раздел. Каркасы пространственные;;;;
28;;Установка каркаса КП4;шт;2;;См. формулу на чертеже (ref)
29;;Установка каркаса КП5;шт;3;;См. формулу на чертеже (ref)
30;;Установка каркаса КП6;шт;3;;См. формулу на чертеже (ref)
;;Раздел. Закладные детали;;;;
31;;Установка закладного изделия Зд1;шт;1;;См. формулу на чертеже (ref)
;;Раздел. Арматура;;;;
32;;Арматура А500С ⌀13мм;т;;;См. формулы расчёта
33;;Арматура А500С ⌀14мм;т;;;См. формулы расчёта
34;;Арматура А500С ⌀12мм;т;;;См. формулы расчёта
35;;Арматура А500С ⌀10мм;т;;;См. формулы расчёта
36;;Арматура А500С ⌀8мм;т;;;См. формулы расчёта
37;;Арматура А240 ⌀8мм;т;;;См. формулы расчёта
38;;Арматура А500С ⌀16мм;т;;;См. формулы расчёта
39;;Арматура А240 ⌀12мм;т;;;См. формулы расчёта
